SchoolCode,SchoolName,SchoolType,Grade,TotalEnrollment,FirstLanguageNotEnglish,PctFirstLanguageNotEnglish,EnglishLanguageLearner,PctEnglishLanguageLearner,StudentsWithDisabilities,PctStudentsWithDisabilities,HighNeeds,PctHighNeeds,EconomicallyDisadvantaged,PctEconomicallyDisadvantaged,TotalNoOfClasses,AverageClassSize,NumberOfStudents,SalaryTotals,AverageSalary,FTECount,InDistrictExpenditures,TotalInDistrictFTEs,AverageInDistrictExpendituresPerPupil,TotalExpenditures,TotalPupilFTEs,AverageExpendituresPerPupil,AccountabilityAndAssistanceLevel,AccountabilityAndAssistanceDescription,SchoolAccountablityPercentile,ProgressAndPerformanceAll,ProgressAndPerformanceHighNeeds,DistrictAccountability,DistrictProgressAndPerformanceAll,DistrictProgressAndPerformanceHighNeeds
50303,Roberta G. Doering School,Public School,"05,06,07,08",599,59,9.8,28,4.7,91,15.2,246,41.1,180,30.1,348,16.8,598,20849537,64769,322,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,Level 2,Not meeting gap narrowing goals,54,52,52,Level 2,54,56
50405,Agawam Junior High,Public School,"07,08",562,35,6.2,6,1.1,84,14.9,194,34.5,131,23.3,847,11.8,607,20849537,64769,322,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,Level 2,Not meeting gap narrowing goals,30,54,54,Level 2,54,56
50505,Agawam High,Public School,"09,10,11,12",1222,56,4.6,16,1.3,172,14.1,391,32,277,22.7,590,16.8,1242,20849537,64769,322,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,Level 2,Not meeting gap narrowing goals,41,65,61,Level 2,54,56
70005,Amesbury Elementary,Public School,"PK,K,01,02,03,04",388,0,0,0,0,79,20.4,148,38.1,92,23.7,171,20.4,423,12158388,77147,158,29541449.55,2272.2,13001.25,33668081.3,2444.7,13771.87,Level 2,Not meeting gap narrowing goals,57,60,45,Level 2,50,46
70010,Charles C Cashman Elementary,Public School,"PK,K,01,02,03,04",458,22,4.8,18,3.9,110,24,204,44.5,128,27.9,188,22.1,509,12158388,77147,158,29541449.55,2272.2,13001.25,33668081.3,2444.7,13771.87,Level 2,Not meeting gap narrowing goals,59,56,62,Level 2,50,46
70013,Amesbury Middle,Public School,"05,06,07,08",679,21,3.1,11,1.6,120,17.7,231,34,152,22.4,410,18.4,696,12158388,77147,158,29541449.55,2272.2,13001.25,33668081.3,2444.7,13771.87,Level 2,Not meeting gap narrowing goals,50,50,46,Level 2,50,46
70505,Amesbury High,Public School,"09,10,11,12",594,17,2.9,3,0.5,101,17,154,25.9,87,14.6,380,16.7,621,12158388,77147,158,29541449.55,2272.2,13001.25,33668081.3,2444.7,13771.87,Level 2,Not meeting gap narrowing goals,53,67,66,Level 2,50,46
80009,Crocker Farm Elementary,Public School,"PK,K,01,02,03,04,05,06",404,110,27.2,76,18.8,88,21.8,189,46.8,108,26.7,109,18.1,405,8191622,71730,114,24400717,1183.5,20617.42,25999942,1284.8,20236.57,Level 2,Not meeting gap narrowing goals,54,65,76,Level 2,54,60
80020,Fort River Elementary,Public School,"K,01,02,03,04,05,06",335,83,24.8,52,15.5,72,21.5,175,52.2,128,38.2,99,20.2,348,8191622,71730,114,24400717,1183.5,20617.42,25999942,1284.8,20236.57,Level 2,Not meeting gap narrowing goals,38,49,50,Level 2,54,60
80050,Wildwood Elementary,Public School,"K,01,02,03,04,05,06",409,113,27.6,65,15.9,63,15.4,194,47.4,129,31.5,118,20.1,417,8191622,71730,114,24400717,1183.5,20617.42,25999942,1284.8,20236.57,Level 2,Not meeting gap narrowing goals,64,62,72,Level 2,54,60
90003,Bancroft Elementary,Public School,"K,01,02,03,04,05",593,48,8.1,25,4.2,98,16.5,141,23.8,40,6.7,191,22.1,614,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,Level 2,Not meeting gap narrowing goals,75,65,60,Level 2,83,57
90004,High Plain Elementary,Public School,"K,01,02,03,04,05",515,134,26,68,13.2,72,14,147,28.5,23,4.5,151,23.7,522,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,Level 1,2016 Level held harmless,95,100,71,Level 2,83,57
90010,Henry C Sanborn Elementary,Public School,"K,01,02,03,04,05",381,61,16,38,10,54,14.2,108,28.3,30,7.9,123,22.1,397,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,Level 2,Not meeting gap narrowing goals,81,65,61,Level 2,83,57
90020,South Elementary,Public School,"K,01,02,03,04,05",493,70,14.2,34,6.9,77,15.6,127,25.8,16,3.2,157,21.9,503,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,Level 1,2016 Level held harmless,87,78,65,Level 2,83,57
90025,West Elementary,Public School,"K,01,02,03,04,05",636,76,11.9,32,5,133,20.9,194,30.5,52,8.2,199,22.9,662,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,Level 2,Not meeting gap narrowing goals,76,67,61,Level 2,83,57
90305,Doherty Middle,Public School,"06,07,08",561,52,9.3,5,0.9,112,20,127,22.6,26,4.6,293,19.4,557,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,Level 2,Not meeting gap narrowing goals,91,97,74,Level 2,83,57
90310,Andover West Middle,Public School,"06,07,08",532,43,8.1,6,1.1,89,16.7,125,23.5,40,7.5,276,19.9,541,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,Level 2,Not meeting gap narrowing goals,85,81,68,Level 2,83,57
90350,Wood Hill Middle School,Public School,"06,07,08",419,79,18.9,6,1.4,79,18.9,110,26.3,28,6.7,232,18.6,423,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,Level 1,Meeting gap narrowing goals,86,87,77,Level 2,83,57
90505,Andover High,Public School,"09,10,11,12",1806,172,9.5,14,0.8,290,16.1,377,20.9,113,6.3,1160,14.7,1799,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,Level 2,Not meeting gap narrowing goals,81,85,64,Level 2,83,57
100005,John A Bishop,Public School,"K,01,02,03,04,05",425,38,8.9,21,4.9,39,9.2,83,19.5,26,6.1,126,23.7,427,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,Level 2,Not meeting gap narrowing goals,96,100,71,Level 2,76,56
100010,Brackett,Public School,"K,01,02,03,04,05",476,28,5.9,13,2.7,56,11.8,81,17,18,3.8,182,18.3,475,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,Level 1,Meeting gap narrowing goals,94,100,88,Level 2,76,56
100025,Cyrus E Dallin,Public School,"K,01,02,03,04,05",466,15,3.2,11,2.4,66,14.2,94,20.2,23,4.9,195,16.9,471,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,Level 1,2016 Level held harmless,87,71,55,Level 2,76,56
100030,Hardy,Public School,"K,01,02,03,04,05",451,72,16,57,12.6,58,12.9,142,31.5,37,8.2,133,21.6,410,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,Level 2,Not meeting gap narrowing goals,90,89,53,Level 2,76,56
100045,Peirce,Public School,"K,01,02,03,04,05",276,30,10.9,26,9.4,32,11.6,62,22.5,12,4.3,84,22,264,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,Level 2,Not meeting gap narrowing goals,90,94,70,Level 2,76,56
100050,Thompson,Public School,"K,01,02,03,04,05",466,81,17.4,58,12.4,42,9,147,31.5,70,15,133,23,437,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,Level 2,Not meeting gap narrowing goals,78,69,54,Level 2,76,56
100055,M Norcross Stratton,Public School,"K,01,02,03,04,05",396,46,11.6,31,7.8,56,14.1,106,26.8,36,9.1,161,17.2,396,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,Level 2,Not meeting gap narrowing goals,85,78,65,Level 2,76,56
100410,Ottoson Middle,Public School,"06,07,08",1208,156,12.9,27,2.2,182,15.1,303,25.1,119,9.9,639,19.1,1148,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,Level 1,2016 Level held harmless,82,73,61,Level 2,76,56
100505,Arlington High,Public School,"09,10,11,12",1290,160,12.4,12,0.9,143,11.1,267,20.7,133,10.3,682,14.3,1255,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,Level 1,Meeting gap narrowing goals,73,79,86,Level 2,76,56
140015,David Mindess,Public School,"03,04,05",620,161,26,38,6.1,106,17.1,191,30.8,77,12.4,230,21.7,601,14049291,76355,184,33283483.06,2586.6,12867.66,37183646.87,2732.5,13607.92,Level 2,Not meeting gap narrowing goals,54,69,64,Level 2,72,73
140405,Ashland Middle,Public School,"06,07,08",587,114,19.4,14,2.4,85,14.5,172,29.3,87,14.8,388,19.1,621,14049291,76355,184,33283483.06,2586.6,12867.66,37183646.87,2732.5,13607.92,Level 1,Meeting gap narrowing goals,88,91,76,Level 2,72,73
140505,Ashland High,Public School,"09,10,11,12",744,84,11.3,13,1.7,98,13.2,170,22.8,77,10.3,431,14.6,746,14049291,76355,184,33283483.06,2586.6,12867.66,37183646.87,2732.5,13607.92,Level 1,Meeting gap narrowing goals,89,94,88,Level 2,72,73
160001,A. Irvin Studley Elementary School,Public School,"K,01,02,03,04",441,106,24,78,17.7,68,15.4,244,55.3,169,38.3,206,20.5,448,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,Level 1,Meeting gap narrowing goals,53,75,84,Level 2,64,52
160035,Thomas Willett Elementary School,Public School,"K,01,02,03,04",449,79,17.6,52,11.6,63,14,230,51.2,169,37.6,185,21.7,416,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,Level 1,Meeting gap narrowing goals,73,77,89,Level 2,64,52
160040,Hyman Fine Elementary School,Public School,"K,01,02,03,04",443,73,16.5,59,13.3,54,12.2,192,43.3,134,30.2,185,22.4,453,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,Level 1,Meeting gap narrowing goals,73,92,99,Level 2,64,52
160045,Hill-Roberts Elementary School,Public School,"K,01,02,03,04",467,74,15.8,20,4.3,59,12.6,185,39.6,122,26.1,180,23.9,479,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,Level 1,Meeting gap narrowing goals,48,87,78,Level 2,64,52
160050,Peter Thacher Elementary School,Public School,"K,01,02,03,04",394,54,13.7,27,6.9,96,24.4,191,48.5,121,30.7,223,16.5,405,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,Level 1,Meeting gap narrowing goals,78,84,94,Level 2,64,52
160305,Robert J. Coelho Middle School,Public School,"05,06,07,08",663,50,7.5,10,1.5,116,17.5,228,34.4,131,19.8,278,24.3,689,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,Level 1,Meeting gap narrowing goals,68,79,82,Level 2,64,52
160315,Cyril K. Brennan Middle School,Public School,"05,06,07,08",552,78,14.1,27,4.9,82,14.9,251,45.5,178,32.2,227,20.8,558,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,Level 2,Not meeting gap narrowing goals,63,66,63,Level 2,64,52
160320,Wamsutta Middle School,Public School,"05,06,07,08",579,99,17.1,20,3.5,99,17.1,256,44.2,181,31.3,228,21.8,563,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,Level 2,Not meeting gap narrowing goals,44,46,47,Level 2,64,52
160505,Attleboro High,Public School,"09,10,11,12",1671,170,10.2,38,2.3,238,14.2,593,35.5,428,25.6,930,18.1,1724,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,Level 2,Not meeting gap narrowing goals,30,75,65,Level 2,64,52
170030,Swanson Road Intermediate School,Public School,"03,04,05",537,34,6.3,17,3.2,40,7.4,140,26.1,98,18.2,198,21.7,556,12040430,69481,173,31001398.57,2351.2,13185.35,32811408.1,2416,13580.88,Level 1,Meeting gap narrowing goals,68,79,77,Level 2,57,53
170305,Auburn Middle,Public School,"06,07,08",624,38,6.1,16,2.6,41,6.6,142,22.8,101,16.2,308,19,616,12040430,69481,173,31001398.57,2351.2,13185.35,32811408.1,2416,13580.88,Level 2,Not meeting gap narrowing goals,44,59,53,Level 2,57,53
170505,Auburn Senior High,Public School,"PK,09,10,11,12",795,45,5.7,17,2.1,76,9.6,189,23.8,121,15.2,561,17.3,776,12040430,69481,173,31001398.57,2351.2,13185.35,32811408.1,2416,13580.88,Level 2,Not meeting gap narrowing goals,45,67,72,Level 2,57,53
180010,Ralph D Butler,Public School,"PK,K,01,02,03,04,05,06",395,11,2.8,8,2,57,14.4,136,34.4,88,22.3,98,18,404,4367245,67547,65,10237116.28,728.8,14046.54,10583378.28,740.9,14284.49,Level 1,2016 Level held harmless,63,61,76,Level 2,60,58
180510,Avon Middle High School,Public School,"07,08,09,10,11,12",319,23,7.2,7,2.2,52,16.3,111,34.8,76,23.8,218,13.3,320,4367245,67547,65,10237116.28,728.8,14046.54,10583378.28,740.9,14284.49,Level 2,Not meeting gap narrowing goals,29,60,51,Level 2,60,58
200050,Barnstable United Elementary School,Public School,"04,05",852,174,20.4,62,7.3,114,13.4,409,48,275,32.3,385,23.4,804,29148135,78757,370,72770120.43,4866.8,14952.35,83705428.29,5575.6,15012.81,Level 2,Not meeting gap narrowing goals,29,54,53,Level 2,55,47
200315,Barnstable Intermediate School,Public School,"06,07",754,89,11.8,40,5.3,134,17.8,353,46.8,243,32.2,463,15.1,752,29148135,78757,370,72770120.43,4866.8,14952.35,83705428.29,5575.6,15012.81,Level 2,Not meeting gap narrowing goals,42,48,49,Level 2,55,47
200505,Barnstable High,Public School,"08,09,10,11,12",1866,203,10.9,116,6.2,227,12.2,680,36.4,475,25.5,700,15.3,1837,29148135,78757,370,72770120.43,4866.8,14952.35,83705428.29,5575.6,15012.81,Level 2,Not meeting gap narrowing goals,43,62,52,Level 2,55,47
230012,Lt Job Lane School,Public School,"03,04,05",566,96,17,44,7.8,101,17.8,181,32,44,7.8,132,20.5,535,17509953,79410,221,39583898.54,2521.6,15697.93,46616267.25,2613.1,17839.45,Level 2,Not meeting gap narrowing goals,84,80,65,Level 2,62,54
230305,John Glenn Middle,Public School,"06,07,08",556,92,16.5,24,4.3,95,17.1,156,28.1,49,8.8,419,14.5,538,17509953,79410,221,39583898.54,2521.6,15697.93,46616267.25,2613.1,17839.45,Level 2,Not meeting gap narrowing goals,75,56,50,Level 2,62,54
230505,Bedford High,Public School,"PK,09,10,11,12",888,85,9.6,9,1,142,16,202,22.7,69,7.8,593,12.3,893,17509953,79410,221,39583898.54,2521.6,15697.93,46616267.25,2613.1,17839.45,Level 1,Meeting gap narrowing goals,87,80,81,Level 2,62,54
240006,Chestnut Hill Community School,Public School,"04,05,06",578,10,1.7,4,0.7,120,20.8,186,32.2,104,18,237,22.5,578,10785380,63183,171,28806737.23,2349.1,12262.88,31648711.82,2513.4,12591.99,Level 2,Not meeting gap narrowing goals,41,44,45,Level 2,67,49
240025,Jabish Middle School,Public School,"07,08",395,12,3,1,0.3,73,18.5,127,32.2,76,19.2,295,15.6,409,10785380,63183,171,28806737.23,2349.1,12262.88,31648711.82,2513.4,12591.99,Level 2,Not meeting gap narrowing goals,61,66,46,Level 2,67,49
240505,Belchertown High,Public School,"09,10,11,12",710,17,2.4,1,0.1,85,12,157,22.1,96,13.5,419,14,707,10785380,63183,171,28806737.23,2349.1,12262.88,31648711.82,2513.4,12591.99,Level 1,Meeting gap narrowing goals,84,95,82,Level 2,67,49
250315,Bellingham Memorial School,Public School,"04,05,06,07",711,32,4.5,7,1,125,17.6,218,30.7,123,17.3,251,20.2,732,11671237,71691,163,30331546,2359.9,12852.89,33532419,2536.4,13220.48,Level 2,Not meeting gap narrowing goals,55,66,65,Level 2,65,65
250505,Bellingham High School,Public School,"08,09,10,11,12",739,22,3,8,1.1,143,19.4,234,31.7,115,15.6,343,18.3,748,11671237,71691,163,30331546,2359.9,12852.89,33532419,2536.4,13220.48,Level 2,Low assessment participation (Less than 95%),64,82,85,Level 2,65,65
260005,Winn Brook,Public School,"K,01,02,03,04",468,117,25,57,12.2,38,8.1,120,25.6,21,4.5,82,22.4,458,21190927,85241,249,49380142.96,4224.4,11689.27,56228501.75,4315.8,13028.52,Level 1,Meeting gap narrowing goals,98,100,,Level 1,100,81
260010,Mary Lee Burbank,Public School,"K,01,02,03,04",373,71,19,46,12.3,21,5.6,93,24.9,22,5.9,61,22.8,346,21190927,85241,249,49380142.96,4224.4,11689.27,56228501.75,4315.8,13028.52,Level 1,Meeting gap narrowing goals,99,100,,Level 1,100,81
260015,Daniel Butler,Public School,"K,01,02,03,04",363,114,31.4,49,13.5,26,7.2,125,34.4,47,12.9,65,22.8,369,21190927,85241,249,49380142.96,4224.4,11689.27,56228501.75,4315.8,13028.52,Level 1,Meeting gap narrowing goals,96,97,100,Level 1,100,81
260035,Roger E Wellington,Public School,"PK,K,01,02,03,04",641,147,22.9,63,9.8,70,10.9,176,27.5,51,8,106,22.5,648,21190927,85241,249,49380142.96,4224.4,11689.27,56228501.75,4315.8,13028.52,Level 1,Meeting gap narrowing goals,84,86,99,Level 1,100,81
260305,Winthrop L Chenery Middle,Public School,"05,06,07,08",1357,289,21.3,38,2.8,139,10.2,279,20.6,102,7.5,641,22.1,1328,21190927,85241,249,49380142.96,4224.4,11689.27,56228501.75,4315.8,13028.52,Level 1,Meeting gap narrowing goals,98,100,100,Level 1,100,81
260505,Belmont High,Public School,"09,10,11,12",1264,209,16.5,26,2.1,72,5.7,181,14.3,82,6.5,459,19.2,1249,21190927,85241,249,49380142.96,4224.4,11689.27,56228501.75,4315.8,13028.52,Level 1,Meeting gap narrowing goals,93,93,76,Level 1,100,81
270010,Berkley Community School,Public School,"PK,K,01,02,03,04",537,0,0,0,0,74,13.8,156,29.1,99,18.4,155,20.8,537,4423115,72749,61,10232795,850.7,12028.68,11309630,859.8,13153.79,Level 2,Not meeting gap narrowing goals,43,66,52,Level 2,57,59
270305,Berkley Middle School,Public School,"05,06,07,08",392,1,0.3,1,0.3,71,18.1,99,25.3,43,11,172,19.3,392,4423115,72749,61,10232795,850.7,12028.68,11309630,859.8,13153.79,Level 2,Not meeting gap narrowing goals,38,56,63,Level 2,57,59
280005,Berlin Memorial,Public School,"PK,K,01,02,03,04,05",190,21,11.1,10,5.3,29,15.3,60,31.6,34,17.9,113,15.6,186,1370545,78541,17,3463938.09,187.6,18464.49,3573503.31,191.3,18680.1,Level 2,Not meeting gap narrowing goals,47,59,48,Level 2,59,48
300010,Centerville Elementary,Public School,"K,01,02,03,04,05",358,7,2,5,1.4,72,20.1,151,42.2,122,34.1,22,16.5,363,21856518,71078,308,54772903.12,4481.9,12220.91,61663547.12,4675.6,13188.37,Level 2,Not meeting gap narrowing goals,34,69,50,Level 2,75,64
300015,Cove Elementary,Public School,"K,01,02,03,04,05",464,17,3.7,12,2.6,81,17.5,187,40.3,132,28.4,29,15.8,457,21856518,71078,308,54772903.12,4481.9,12220.91,61663547.12,4675.6,13188.37,Level 1,Meeting gap narrowing goals,61,90,97,Level 2,75,64
300033,Hannah Elementary,Public School,"K,01,02,03,04,05",381,8,2.1,6,1.6,74,19.4,131,34.4,79,20.7,22,16.8,369,21856518,71078,308,54772903.12,4481.9,12220.91,61663547.12,4675.6,13188.37,Level 1,Meeting gap narrowing goals,59,84,77,Level 2,75,64
300040,North Beverly Elementary,Public School,"K,01,02,03,04,05",391,6,1.5,2,0.5,66,16.9,126,32.2,81,20.7,25,17,425,21856518,71078,308,54772903.12,4481.9,12220.91,61663547.12,4675.6,13188.37,Level 1,Meeting gap narrowing goals,40,88,89,Level 2,75,64
300055,Ayers/Ryal Side School,Public School,"K,01,02,03,04,05",525,113,21.5,90,17.1,75,14.3,254,48.4,165,31.4,24,22,528,21856518,71078,308,54772903.12,4481.9,12220.91,61663547.12,4675.6,13188.37,Level 1,Meeting gap narrowing goals,53,78,79,Level 2,75,64
300305,Briscoe Middle,Public School,"06,07,08",1009,31,3.1,17,1.7,205,20.3,379,37.6,236,23.4,566,19.3,980,21856518,71078,308,54772903.12,4481.9,12220.91,61663547.12,4675.6,13188.37,Level 2,Not meeting gap narrowing goals,69,71,51,Level 2,75,64
300505,Beverly High,Public School,"09,10,11,12",1285,53,4.1,26,2,227,17.7,452,35.2,306,23.8,607,18.9,1285,21856518,71078,308,54772903.12,4481.9,12220.91,61663547.12,4675.6,13188.37,Level 2,Not meeting gap narrowing goals,39,68,53,Level 2,75,64
310005,Thomas Ditson,Public School,"K,01,02,03,04,05",542,36,6.6,13,2.4,69,12.7,149,27.5,86,15.9,260,19,558,28755591,74345,387,74898453,5082,14737.99,83776392,5427.7,15434.97,Level 2,Not meeting gap narrowing goals,31,59,59,Level 3,63,53
310007,Frederick J Dutile,Public School,"K,01,02,03,04,05",303,12,4,0,0,52,17.2,98,32.3,57,18.8,144,18.8,301,28755591,74345,387,74898453,5082,14737.99,83776392,5427.7,15434.97,Level 1,2016 Level held harmless,70,71,77,Level 3,63,53
310012,John F Kennedy,Public School,"K,01,02,03,04,05",321,8,2.5,0,0,31,9.7,60,18.7,38,11.8,159,18.7,340,28755591,74345,387,74898453,5082,14737.99,83776392,5427.7,15434.97,Level 2,Not meeting gap narrowing goals,60,74,66,Level 3,63,53
310015,Parker,Public School,"K,01,02,03,04,05",507,30,5.9,4,0.8,92,18.1,166,32.7,93,18.3,211,20.2,489,28755591,74345,387,74898453,5082,14737.99,83776392,5427.7,15434.97,Level 1,2016 Level held harmless,46,70,67,Level 3,63,53
310026,Hajjar Elementary,Public School,"K,01,02,03,04,05",477,79,16.6,25,5.2,65,13.6,159,33.3,83,17.4,221,20.3,509,28755591,74345,387,74898453,5082,14737.99,83776392,5427.7,15434.97,Level 2,Not meeting gap narrowing goals,27,54,63,Level 3,63,53
310030,Eugene C Vining,Public School,"K,01,02,03,04,05",197,6,3,0,0,27,13.7,55,27.9,35,17.8,106,16.5,200,28755591,74345,387,74898453,5082,14737.99,83776392,5427.7,15434.97,Level 3,Among lowest performing 20% of subgroups,22,76,54,Level 3,63,53
310305,Marshall Middle School,Public School,"06,07,08",623,49,7.9,8,1.3,120,19.3,202,32.4,107,17.2,333,19.2,683,28755591,74345,387,74898453,5082,14737.99,83776392,5427.7,15434.97,Level 1,Meeting gap narrowing goals,57,83,81,Level 3,63,53
310310,Locke Middle,Public School,"06,07,08",536,30,5.6,0,0,103,19.2,146,27.2,69,12.9,392,18.4,600,28755591,74345,387,74898453,5082,14737.99,83776392,5427.7,15434.97,Level 2,Not meeting gap narrowing goals,54,79,51,Level 3,63,53
310505,Billerica Memorial High School,Public School,"PK,09,10,11,12",1376,94,6.8,17,1.2,205,14.9,367,26.7,209,15.2,559,17.7,1388,28755591,74345,387,74898453,5082,14737.99,83776392,5427.7,15434.97,Level 2,Not meeting gap narrowing goals,47,69,69,Level 3,63,53
350004,Lyon K-8,Public School,"K,01,02,03,04,05,06,07,08",139,32,23,8,5.8,47,33.8,76,54.7,43,30.9,75,15,137,383866184,88790,4323,1093104369,56858.8,19224.89,1269579527,65964.6,19246.36,Level 2,Not meeting gap narrowing goals,73,66,75,Level 4,53,54
350012,Boston Teachers Union School,Public School,"PK,K,01,02,03,04,05,06,07,08",296,72,24.3,40,13.5,64,21.6,166,56.1,118,39.9,132,18.6,325,383866184,88790,4323,1093104369,56858.8,19224.89,1269579527,65964.6,19246.36,Level 2,Low assessment participation (Less than 95%),25,81,82,Level 4,53,54
350013,Jackson Mann,Public School,"PK,K,01,02,03,04,05,06,07,08",765,368,48.1,280,36.6,162,21.2,631,82.5,483,63.1,398,18.4,855,383866184,88790,4323,1093104369,56858.8,19224.89,1269579527,65964.6,19246.36,Level 3,Among lowest performing 20% of schools and subgroups,19,44,58,Level 4,53,54
